#,Player,Team,Pos,DPM,ODPM,DDPM,Box,On/Off DPM,MPG,Pace,Pts per 100,Ast per 100,FG%,3P%,FT%,$ Value,Salary,Surplus Value
1,Nikola Jokic,Denver Nuggets,C-F,+8,+5,+2,+5,+8,35.7,99.7,37.3,13.1,57.2%,34.3%,81.1%,$86.2M,$54.7M,+$31.6M
2,Kawhi Leonard,Los Angeles Clippers,F,+6,+5,+1,+6,+6,33.7,98.0,42.6,6.8,51.1%,40.2%,89.1%,$67.9M,$49.5M,+$18.4M
3,Shai Gilgeous-Alexander,Oklahoma City Thunder,G,+6,+6,+1,+5,+7,38.7,99.6,38.7,9.9,55.5%,37.7%,87.8%,$78.9M,$38.0M,+$40.9M
4,Victor Wembanyama,San Antonio Spurs,F-C,+6,+3,+3,+7,+6,33.5,95.6,36.7,4.6,48.5%,34.9%,82.5%,$68.6M,$13.2M,+$55.4M
5,Donovan Mitchell,Cleveland Cavaliers,G,+6,+6,-0,+3,+6,34.8,102.4,39.8,8.7,47.8%,34.6%,84.4%,$66.0M,$45.9M,+$20.1M
6,Giannis Antetokounmpo,Milwaukee Bucks,F-G,+5,+4,+2,+4,+6,32.6,98.0,38.3,8.3,60.6%,29.4%,63.9%,$63.6M,$53.6M,+$10.0M
7,Anthony Edwards,Minnesota Timberwolves,G,+5,+5,-0,+5,+5,36.3,97.0,39.7,5.5,47.3%,37.4%,81.4%,$62.5M,$45.1M,+$17.4M
8,Luka Doncic,Los Angeles Lakers,G,+5,+5,-0,+3,+5,32.8,100.0,42.1,11.3,46.9%,35.5%,77.5%,$61.8M,$45.5M,+$16.2M
9,Jayson Tatum,Boston Celtics,F,+5,+4,+0,+3,+5,30.1,100.0,37.2,7.3,44.6%,36.2%,84.2%,$53.6M,$53.6M,+$0.0M
10,Cade Cunningham,Detroit Pistons,G,+4,+3,+1,+2,+4,26.9,99.3,34.5,14.9,47.8%,33.4%,82.3%,$56.1M,$45.9M,+$10.2M
11,Chet Holmgren,Oklahoma City Thunder,C-F,+4,+1,+2,+3,+4,28.6,100.6,26.8,3.1,53.8%,36.4%,77.4%,$46.8M,$13.6M,+$33.2M
12,Tyrese Haliburton,Indiana Pacers,G,+3,+3,+0,+5,+3,21.9,97.2,29.5,12.1,46.9%,37.9%,82.2%,$32.6M,$45.1M,-$12.5M
13,Kevin Durant,Houston Rockets,F-G,+3,+3,+0,+3,+3,29.4,95.3,35.1,6.2,50.3%,38.8%,88.3%,$47.3M,$54.2M,-$6.8M
14,Joel Embiid,Philadelphia 76ers,C-F,+3,+3,+1,+3,+3,28.2,94.9,40.4,6.5,51.4%,34.3%,84.2%,$47.8M,$54.7M,-$6.9M
15,Aaron Gordon,Denver Nuggets,F,+3,+3,+0,+2,+3,27.2,95.3,25.5,5.1,51.1%,35.0%,77.5%,$38.1M,$22.6M,+$15.5M
16,Jarrett Allen,Cleveland Cavaliers,C,+3,+1,+2,+2,+3,32.9,102.7,29.2,3.9,64.1%,25.8%,73.4%,$42.9M,$19.8M,+$23.1M
17,Bam Adebayo,Miami Heat,C-F,+3,+1,+2,+1,+3,27.3,102.0,31.6,4.4,46.7%,32.2%,76.6%,$45.4M,$36.7M,+$8.7M
18,Evan Mobley,Cleveland Cavaliers,C,+3,+1,+1,+3,+3,34.6,98.9,27.8,5.3,55.2%,32.9%,66.9%,$42.5M,$45.9M,-$3.4M
19,Jamal Murray,Denver Nuggets,G,+3,+4,-1,+2,+3,37.6,96.2,35.4,9.2,49.4%,39.1%,88.9%,$45.7M,$45.9M,-$0.2M
20,OG Anunoby,New York Knicks,F,+3,+1,+2,+3,+3,34.0,98.7,24.4,3.1,50.3%,37.3%,82.0%,$45.1M,$39.2M,+$5.9M
21,Rudy Gobert,Minnesota Timberwolves,C,+3,-1,+4,+2,+3,29.3,97.0,15.7,3.1,65.9%,17.4%,56.2%,$41.1M,$34.7M,+$6.4M
22,Mitchell Robinson,New York Knicks,C,+3,+0,+3,+2,+3,19.7,99.1,14.3,2.3,67.9%,12.6%,50.8%,$27.5M,$12.8M,+$14.7M
23,Derrick White,Boston Celtics,G,+3,+1,+1,+1,+3,38.4,96.4,27.2,8.7,44.4%,36.5%,89.5%,$40.7M,$27.8M,+$12.9M
24,Jalen Brunson,New York Knicks,G,+3,+4,-1,+1,+3,35.7,99.5,34.4,9.3,49.6%,36.9%,82.1%,$45.5M,$34.6M,+$10.9M
25,Karl-Anthony Towns,New York Knicks,C-F,+3,+2,+1,+1,+3,32.0,99.2,31.4,4.7,54.1%,38.0%,85.6%,$37.3M,$52.6M,-$15.3M
26,James Harden,Cleveland Cavaliers,G,+3,+4,-1,+3,+3,36.6,99.2,30.6,11.4,44.5%,34.7%,87.2%,$42.4M,$38.8M,+$3.6M
27,LaMelo Ball,Charlotte Hornets,G,+3,+3,-0,+2,+3,29.7,97.1,32.9,10.7,39.5%,35.7%,88.8%,$33.5M,$37.6M,-$4.1M
28,Stephen Curry,Golden State Warriors,G,+3,+4,-1,+2,+3,30.0,103.5,38.8,9.5,44.7%,38.7%,90.8%,$34.7M,$59.0M,-$24.3M
29,Neemias Queta,Boston Celtics,C,+3,+0,+3,+3,+2,27.1,96.1,20.5,2.9,67.8%,15.8%,73.1%,$32.0M,$2.3M,+$29.7M
30,Ty Jerome,Memphis Grizzlies,G,+3,+3,-0,+4,+1,27.2,95.2,35.0,9.4,42.8%,39.2%,86.3%,$34.3M,$8.7M,+$25.6M
31,Jimmy Butler,Golden State Warriors,G-F,+2,+2,+1,+2,+2,32.1,101.0,32.8,8.4,50.0%,33.1%,80.8%,$35.5M,$53.6M,-$18.1M
32,Isaiah Hartenstein,Oklahoma City Thunder,F-C,+2,-1,+3,+2,+3,20.6,98.7,17.9,6.9,62.0%,22.2%,62.9%,$38.0M,$28.2M,+$9.7M
33,Alex Caruso,Oklahoma City Thunder,G,+2,-0,+3,+2,+2,18.7,100.7,17.6,4.7,43.7%,36.8%,79.2%,$27.9M,$17.9M,+$10.0M
34,Robert Williams III,Portland Trail Blazers,F,+2,+0,+2,+3,+2,19.0,101.7,20.8,3.5,66.7%,29.6%,69.5%,$22.7M,$13.2M,+$9.5M
35,Jaylen Brown,Boston Celtics,F,+2,+3,-1,+2,+2,35.2,98.3,39.0,8.4,49.8%,36.1%,77.7%,$42.6M,$52.6M,-$10.0M
36,Jalen Suggs,Orlando Magic,G,+2,+0,+2,+2,+2,30.2,103.8,24.3,8.9,43.8%,34.5%,83.6%,$32.3M,$34.7M,-$2.4M
37,Jakob Poeltl,Toronto Raptors,C,+2,-1,+3,+2,+2,25.4,92.1,18.5,3.7,65.8%,13.4%,65.0%,$31.9M,$19.3M,+$12.6M
38,Tyrese Maxey,Philadelphia 76ers,G,+2,+3,-1,+3,+2,36.4,94.4,36.9,8.0,47.5%,37.2%,89.4%,$47.5M,$37.6M,+$9.9M
39,Scottie Barnes,Toronto Raptors,F,+2,+0,+2,+2,+2,33.1,92.9,25.7,6.9,49.7%,32.6%,81.5%,$36.9M,$38.3M,-$1.3M
40,Devin Booker,Phoenix Suns,G,+2,+3,-1,+2,+2,33.8,96.5,38.9,8.4,46.3%,36.3%,88.2%,$37.5M,$52.6M,-$15.1M
41,Jalen Duren,Detroit Pistons,C,+2,+1,+1,+1,+2,20.5,100.0,32.0,3.2,64.7%,15.5%,72.3%,$29.5M,$6.4M,+$23.1M
42,De'Aaron Fox,San Antonio Spurs,G,+2,+2,-0,+1,+2,30.7,97.5,27.8,10.1,49.0%,35.0%,77.0%,$36.2M,$36.7M,-$0.5M
43,Steven Adams,Houston Rockets,C,+2,-1,+3,+0,+2,19.6,97.4,15.7,3.0,51.2%,17.1%,46.2%,$21.6M,$14.0M,+$7.6M
44,Kon Knueppel,Charlotte Hornets,G-F,+2,+3,-1,+3,+1,34.9,97.8,27.4,4.7,45.8%,44.1%,86.3%,$33.9M,$9.9M,+$24.0M
45,Austin Reaves,Los Angeles Lakers,G,+2,+3,-1,+1,+2,31.8,96.2,30.5,7.6,48.9%,37.2%,87.3%,$37.1M,$13.8M,+$23.3M
46,Anthony Davis,Washington Wizards,F-C,+2,+0,+1,+3,+2,20.7,93.1,28.8,4.3,50.4%,31.1%,74.7%,$28.9M,$53.6M,-$24.7M
47,Ivica Zubac,Indiana Pacers,C,+2,+0,+2,+2,+2,21.4,95.5,23.4,3.6,60.9%,14.4%,67.9%,$24.6M,$17.9M,+$6.7M
48,Tyler Herro,Miami Heat,G,+2,+2,-0,+2,+2,31.0,98.8,32.9,6.4,45.5%,36.7%,88.7%,$37.6M,$30.7M,+$6.9M
49,Fred VanVleet,Houston Rockets,G,+2,+1,+1,+0,+2,22.0,99.1,25.4,7.6,38.4%,35.0%,82.1%,$20.7M,$24.8M,-$4.0M
50,Donte DiVincenzo,Minnesota Timberwolves,G,+2,+1,+1,+2,+2,28.2,98.4,18.2,6.5,43.8%,39.0%,77.8%,$30.1M,$11.9M,+$18.2M
51,Paul George,Philadelphia 76ers,F,+2,+0,+1,+1,+2,16.1,94.0,25.9,6.0,44.8%,38.8%,83.0%,$26.9M,$51.2M,-$24.2M
52,Jaren Jackson Jr.,Utah Jazz,F,+2,+0,+1,-0,+2,29.0,103.2,33.1,3.8,45.8%,35.1%,79.3%,$29.1M,$34.7M,-$5.5M
53,De'Anthony Melton,Golden State Warriors,G,+2,+0,+1,+0,+2,24.9,98.9,28.3,5.2,42.6%,37.1%,81.3%,$30.3M,$3.1M,+$27.2M
54,Derrick Jones Jr.,Los Angeles Clippers,F,+2,+0,+1,-0,+2,33.0,98.7,21.7,2.9,51.1%,36.0%,75.1%,$29.4M,$9.9M,+$19.5M
55,Deni Avdija,Portland Trail Blazers,F,+2,+2,-1,+0,+2,31.8,103.1,32.0,10.2,48.3%,33.5%,78.7%,$31.1M,$14.2M,+$16.9M
56,Jalen Williams,Oklahoma City Thunder,G-F,+2,+1,+0,+0,+2,18.5,100.7,30.1,8.1,49.7%,35.8%,77.5%,$29.3M,$6.5M,+$22.7M
57,Lauri Markkanen,Utah Jazz,F,+2,+2,-0,+1,+2,32.6,104.2,37.1,3.5,45.3%,36.2%,88.2%,$32.6M,$45.9M,-$13.4M
58,Pascal Siakam,Indiana Pacers,F,+2,+2,-0,+1,+2,35.8,100.0,32.9,5.1,48.9%,33.0%,70.3%,$35.4M,$45.1M,-$9.7M
59,Dwight Powell,Dallas Mavericks,F-C,+1,-1,+3,+1,+1,5.0,98.2,10.7,3.4,63.1%,24.8%,65.7%,$12.9M,$4.0M,+$9.0M
60,Brandon Clarke,Memphis Grizzlies,F,+1,+0,+1,+2,+1,18.0,98.0,22.7,2.5,54.4%,27.8%,66.3%,$15.6M,$12.4M,+$3.3M
61,Donovan Clingan,Portland Trail Blazers,C,+1,+0,+1,+2,+0,32.1,99.8,23.1,4.7,53.2%,32.0%,64.7%,$26.2M,$7.1M,+$19.1M
62,Jalen Smith,Chicago Bulls,F-C,+1,+1,+1,+0,+2,26.6,98.3,24.1,3.3,47.1%,34.9%,76.0%,$27.4M,$8.9M,+$18.5M
63,Franz Wagner,Orlando Magic,F,+1,+2,-0,-0,+2,17.1,103.8,29.7,5.6,45.2%,32.6%,80.8%,$25.5M,$38.3M,-$12.8M
64,Paul Reed,Detroit Pistons,F,+1,-1,+2,+1,+2,5.8,98.5,24.7,3.7,59.3%,29.7%,68.7%,$12.5M,$5.3M,+$7.2M
